Schedule.name,Schedule.run.date,Animal ID,Max_Schedule_Time,End.Summary...Condition..1.,End.Summary...Session Time..1.,End Summary...Trials.Completed..1.,End.Summary.....Correct..1.,End.Summary...Left.ITI.Touches..1.,End.Summary...Right.ITI.Touches..1.,End Summary...Left.Blank.Touches...Generic.Counter..1.,End.Summary...Right.Blank.Touches...Generic Counter..1.,Correct.touch.latency,Correct.Reward.Collection,Blank.Touch.Latency,10 Trial Block - Percentage Correct (1),10 Trial Block - Percentage Correct (2),10 Trial Block - Percentage Correct (3),No trials to criterion - Condition (1),No trials to criterion - Condition (2),No trials to criterion - Generic Evaluation (1),No trials to criterion - Generic Evaluation (2),End Summary - Times Criteria reached (1),Trial Analysis - No. Correct (1),Trial Analysis - No. Correct (2),Trial Analysis - No. Correct (3),Trial Analysis - No. Correct (4),Trial Analysis - No. Correct (5),Trial Analysis - No. Correct (6),Trial Analysis - No. Correct (7),Trial Analysis - No. Correct (8),Trial Analysis - No. Correct (9),Trial Analysis - No. Correct (10),Trial Analysis - No. Correct (11),Trial Analysis - No. Correct (12),Trial Analysis - No. Correct (13),Trial Analysis - No. Correct (14),Trial Analysis - No. Correct (15),Trial Analysis - No. Correct (16),Trial Analysis - No. Correct (17),Trial Analysis - No. Correct (18),Trial Analysis - No. Correct (19),Trial Analysis - No. Correct (20),Trial Analysis - No. Correct (21),Trial Analysis - No. Correct (22),Trial Analysis - No. Correct (23),Trial Analysis - No. Correct (24),Trial Analysis - No. Correct (25),Trial Analysis - No. Correct (26),Trial Analysis - No. Correct (27),Trial Analysis - No. Correct (28),Trial Analysis - No. Correct (29),Trial Analysis - No. Correct (30),Day,Sex,Strain,Second_Criterion_Count,,,No trials to criterion - Generic Evaluation (1),No.trials.to.criterion...Generic.Evaluation..2.,End.Summary...Times.Criteria.reached..1.
A_Mouse LD 1 choice reversal v3,5/12/2025 13:23,c1m1,1620,1620.009,1620.009,22,36.364,4,2,8,5,29.133,8.372,31.468,80,0,,176.131,,8,,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,M,+,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/15/2025 13:09,c1m2,1620,547.636,547.636,30,43.333,3,6,8,5,34.463,11.017,25.97,80,10,40,126.28,,8,,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,M,+,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/16/2025 14:25,c1m2,1620,570.951,570.951,30,26.667,8,10,9,10,21.907,9.575,52.314,70,0,10,141.485,,8,,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,M,+,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/19/2025 13:51,c1m2,1620,766.843,766.843,30,33.333,5,10,11,11,21.992,9.824,46.041,70,10,20,149.825,,9,,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,M,+,0,,,9,,1
A_Mouse LD 1 choice reversal v3,5/20/2025 13:49,c1m2,1620,620.445,620.445,30,56.667,3,8,6,7,48.899,18.8,26.76,80,60,30,129.352,,8,,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,0,4,M,+,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/21/2025 15:11,c1m2,1620,555.497,555.497,30,63.333,8,4,9,7,34.343,15.236,23.784,60,60,70,510.166,,28,,1,1,1,1,0,1,0,1,1,0,0,1,0,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,0,5,M,+,0,,,28,,1
A_Mouse LD 1 choice reversal v3,5/22/2025 14:44,c1m2,1620,623.657,623.657,30,53.333,12,2,15,7,46.728,19.173,46.171,40,80,40,516.515,,25,,1,0,1,1,0,0,0,1,1,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,6,M,+,0,,,25,,1
A_Mouse LD 1 choice reversal v3,5/27/2025 15:30,c1m2,600,540.577,540.577,30,63.333,0,4,4,3,48.744,22.336,14.753,80,50,60,125.882,,8,,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,0,1,7,M,+,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/28/2025 14:10,c1m2,1620,543.162,543.162,30,56.667,6,7,6,9,35.291,15.572,30.704,80,30,60,176.797,,10,,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,8,M,+,0,,,10,,1
A_Mouse LD 1 choice reversal v3,5/29/2025 15:20,c1m2,1620,579.835,579.835,30,40,4,3,2,2,26.258,10.496,44.588,30,80,10,322.954,,18,,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,9,M,+,0,,,18,,1
A_Mouse LD 1 choice reversal v3,5/30/2025 13:57,c1m2,1620,564.677,564.677,30,60,3,5,2,5,52.985,18.611,48.314,70,30,80,133.119,547.982,8,21,2,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,10,M,+,0,,,8,21,2
A_Mouse LD 1 choice reversal v3,6/2/2025 14:22,c1m2,1620,544.105,544.105,30,66.667,1,3,2,5,49.439,19.727,33.054,80,70,50,153.644,455.123,9,17,2,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,11,M,+,2,,,9,17,2
A_Mouse LD 1 choice reversal v3,6/3/2025 14:43,c1m2,1620,597.41,597.41,30,46.667,5,4,3,11,24.865,12.96,45.499,50,50,40,,,,,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,12,M,+,0,,,,,0
A_Mouse LD 1 choice reversal v3,6/4/2025 14:20,c1m2,1620,538.265,538.265,30,53.333,2,3,7,9,45.918,14.437,25.824,70,40,50,147.384,429.652,9,16,2,0,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0,0,0,13,M,+,1,,,9,16,2
A_Mouse LD 1 choice reversal v3,5/11/2025 17:16,c1m3,1620,650.125,650.125,30,46.667,7,3,7,7,61.879,17.44,67.891,80,50,10,330.045,,16,,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,M,+,0,,,16,,1
A_Mouse LD 1 choice reversal v3,5/12/2025 13:23,c1m3,1620,840.122,840.122,30,26.667,17,4,11,8,46.091,12.352,68.77,70,0,10,181.984,,8,,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,M,+,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/14/2025 15:00,c1m3,1620,737.734,737.734,30,50,11,7,17,21,55.237,18.025,50.667,70,40,40,181.404,,8,,1,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,3,M,+,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/15/2025 13:08,c1m3,1620,843.901,843.901,30,43.333,11,4,19,11,61.894,43.666,55.218,70,50,10,329.782,,14,,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,M,+,0,,,14,,1
A_Mouse LD 1 choice reversal v3,5/16/2025 14:25,c1m3,1620,833.13,833.13,30,43.333,11,7,25,15,58.794,19.287,75.589,80,30,20,185.931,,8,,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,5,M,+,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/19/2025 13:50,c1m3,1620,812.842,812.842,30,46.667,12,7,25,12,46.54,15.646,59.877,80,60,0,206.658,,10,,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,M,+,1,,,10,,1
A_Mouse LD 1 choice reversal v3,5/20/2025 13:49,c1m3,1620,962.808,962.808,30,53.333,4,4,19,31,119.06,22.118,66.497,70,60,30,308.146,,13,,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,7,M,+,0,,,13,,1
A_Mouse LD 1 choice reversal v3,5/21/2025 15:11,c1m3,1620,751.68,751.68,30,56.667,6,6,22,15,91.391,19.822,53.418,70,60,40,308.264,,13,,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,8,M,+,0,,,13,,1
A_Mouse LD 1 choice reversal v3,5/22/2025 14:44,c1m3,1620,726.511,726.511,30,56.667,9,3,26,18,86.636,17.735,81.088,70,50,50,,,,,0,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,9,M,+,0,,,,,0
A_Mouse LD 1 choice reversal v3,5/27/2025 15:43,c1m3,900,777.417,777.417,30,46.667,12,10,25,15,48.612,15.825,55.069,50,50,40,286.287,,12,,1,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,10,M,+,0,,,12,,1
A_Mouse LD 1 choice reversal v3,5/28/2025 14:10,c1m3,1620,823.374,823.374,30,53.333,12,15,34,27,78.394,22.112,80.515,70,40,50,165.905,,8,,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,0,11,M,+,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/29/2025 15:20,c1m3,1620,702.045,702.045,30,53.333,14,17,34,24,52.028,20.382,41.161,80,50,30,267.371,,14,,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,12,M,+,0,,,14,,1
A_Mouse LD 1 choice reversal v3,5/30/2025 13:57,c1m3,1620,885.806,885.806,30,43.333,7,13,27,26,54.623,14.442,87.097,30,80,20,488.589,,19,,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,13,M,+,0,,,19,,1
A_Mouse LD 1 choice reversal v3,6/2/2025 14:22,c1m3,1620,623.077,623.077,30,60,15,17,28,24,43.967,28.042,16.301,80,40,60,139.836,,8,,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,1,14,M,+,0,,,8,,1
A_Mouse LD 1 choice reversal v3,6/3/2025 14:43,c1m3,1620,668.858,668.858,30,56.667,6,17,28,21,51.112,24.774,22.624,80,40,50,167.696,,8,,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,1,1,1,0,0,15,M,+,0,,,8,,1
A_Mouse LD 1 choice reversal v3,6/4/2025 14:20,c1m3,1620,627.573,627.573,30,50,11,15,14,19,35.84,22.04,43.479,50,70,30,353.962,,18,,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,16,M,+,0,,,18,,1
A_Mouse LD 1 choice reversal v3,5/30/2025 13:57,c1m4,1620,655.315,655.315,30,26.667,5,6,12,8,8.892,8.027,49.237,70,10,0,121.337,,8,,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,M,+,0,,,8,,1
A_Mouse LD 1 choice reversal v3,6/2/2025 14:22,c1m4,1620,712.468,712.468,30,23.333,14,5,22,4,10.175,6.992,79.909,70,0,0,124.328,,8,,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,M,+,0,,,8,,1
A_Mouse LD 1 choice reversal v3,6/3/2025 14:43,c1m4,1620,869.777,869.777,30,30,13,7,40,21,22.009,10.843,92.2,70,0,20,143.899,,8,,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,M,+,0,,,8,,1
A_Mouse LD 1 choice reversal v3,6/4/2025 14:20,c1m4,1620,733.978,733.978,30,33.333,6,6,22,19,36.276,11.293,56.255,80,10,10,121.918,,8,,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,M,+,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/14/2025 15:34,c2m1,1620,681.081,681.081,30,36.667,11,5,16,7,46.689,13.419,51.273,70,20,20,151.717,,8,,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,F,+,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/15/2025 13:44,c2m1,1620,708.375,708.375,30,40,12,5,13,8,39.864,15.136,57.5,90,20,10,175.121,,8,,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,F,+,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/16/2025 14:56,c2m1,1620,642.345,642.345,30,53.333,10,4,12,5,54.1,22.537,31.843,70,40,50,266.974,,12,,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,1,0,3,F,+,0,,,12,,1
A_Mouse LD 1 choice reversal v3,5/19/2025 14:23,c2m1,1620,690.152,690.152,30,53.333,13,9,14,15,44.507,19.081,28.339,40,80,40,464.21,,20,,1,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,4,F,+,0,,,20,,1
A_Mouse LD 1 choice reversal v3,5/20/2025 14:43,c2m1,1620,631.598,631.598,30,60,11,2,10,5,47.651,19.804,21.602,70,70,40,421.296,,20,,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,1,0,5,F,+,0,,,20,,1
A_Mouse LD 1 choice reversal v3,5/21/2025 15:54,c2m1,1620,622.985,622.985,30,53.333,10,3,6,4,43.625,17.807,26.382,60,60,40,287.753,,15,,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,6,F,+,0,,,15,,1
A_Mouse LD 1 choice reversal v3,5/22/2025 15:18,c2m1,1620,836.376,836.376,30,63.333,10,4,21,10,105.925,75.968,33.007,70,50,70,,,,,0,1,0,1,1,1,1,0,1,1,0,1,0,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,7,F,+,0,,,,,0
A_Mouse LD 1 choice reversal v3,5/27/2025 16:20,c2m1,1620,650.19,650.19,30,50,4,4,11,4,61.386,16.421,53.113,80,30,40,138.525,,8,,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,8,F,+,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/28/2025 14:38,c2m1,1620,738.127,738.127,30,50,4,6,11,16,57.693,29.678,58.909,80,30,40,213.534,,8,,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,9,F,+,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/29/2025 15:50,c2m1,1620,890.97,890.97,30,50,3,1,13,5,84.009,18.82,53.515,50,30,70,,,,,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,1,0,1,10,F,+,0,,,,,0
A_Mouse LD 1 choice reversal v3,5/30/2025 14:32,c2m1,1620,874.217,874.217,30,63.333,13,2,23,14,73.053,31.471,57.113,80,30,80,,,,,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,1,11,F,+,0,,,,,0
A_Mouse LD 1 choice reversal v3,6/2/2025 14:55,c2m1,1620,923.346,923.346,30,53.333,14,2,17,7,79.935,18.7,57.867,80,60,20,212.109,,8,,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,12,F,+,1,,,8,,1
A_Mouse LD 1 choice reversal v3,6/3/2025 15:12,c2m1,1620,1245.495,1245.495,30,46.667,12,2,33,16,52.376,13.631,125.451,50,80,10,740.325,,19,,1,1,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,13,F,+,0,,,19,,1
A_Mouse LD 1 choice reversal v3,6/4/2025 15:00,c2m1,1620,921.982,921.982,30,36.667,3,5,24,10,52.984,11.898,85.374,70,20,20,206.124,,8,,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,14,F,+,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/12/2025 14:10,c2m2,1620,685.604,685.604,30,33.333,9,4,24,9,34.259,12.682,109.155,80,10,10,140.472,,8,,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,F,+,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/14/2025 15:34,c2m2,1620,579.204,579.204,30,36.667,10,6,20,10,25.435,12.299,52.962,80,10,20,126.975,,8,,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,F,+,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/15/2025 13:44,c2m2,1620,856.749,856.749,30,33.333,10,8,70,11,31.993,10.801,52.594,80,20,0,162.183,,8,,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,F,+,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/16/2025 14:56,c2m2,1620,832.25,832.25,30,43.333,21,11,50,22,58.711,19.078,51.437,80,20,30,133.397,,8,,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,4,F,+,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/19/2025 14:23,c2m2,1620,988.33,988.33,30,36.667,8,8,26,23,58.847,19.392,74.453,70,20,20,193.746,,8,,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,5,F,+,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/20/2025 14:43,c2m2,1620,829.231,829.231,30,40,14,10,26,21,36.392,12.763,41.438,80,30,10,174.676,,8,,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6,F,+,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/21/2025 15:54,c2m2,1620,774.644,774.644,30,60,8,9,21,14,35.234,20.461,37.323,80,40,60,175.829,,8,,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1,0,7,F,+,0,,,8,,1
A_Mouse LD 1 choice reversal v3,5/22/2025 15:18,c2m2,1620,611.158,611.158,30,70,11,15,12,32,117.421,18.089,28.556,90,50,70,115.271,467.777,8,14,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,8,F,+,1,,,8,14,2
A_Mouse LD 1 choice reversal v3,5/27/2025 16:20,c2m2,1620,671.856,671.856,30,56.667,11,4,17,18,49.324,17.479,47.397,70,60,40,,,,,0,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,9,F,+,0,,,,,0
